,Game,Date / Box Score,Opponent,Score,Decision,Record
131,132,08-31-2010,vs Oakland Athletics,9-3,W,82-50
132,133,09-01-2010,vs Oakland Athletics,4-3,W,83-50
133,134,09-02-2010,vs Oakland Athletics,5-0,W,84-50
134,135,09-03-2010,vs Toronto Blue Jays,7-3,W,85-50
135,136,09-04-2010,vs Toronto Blue Jays,7-5,W,86-50
136,137,09-05-2010,vs Toronto Blue Jays,3-7,L,86-51
137,138,09-06-2010,vs Baltimore Orioles,3-4,L,86-52
138,139,09-07-2010,vs Baltimore Orioles,2-6,L,86-53
139,140,09-08-2010,vs Baltimore Orioles,3-2,W,87-53
140,141,09-10-2010,at Texas Rangers,5-6,L,87-54
141,142,09-11-2010,at Texas Rangers,6-7,L,87-55
142,143,09-12-2010,at Texas Rangers,1-4,L,87-56
143,144,09-13-2010,at Tampa Bay Rays,0-1,L,87-57
144,145,09-14-2010,at Tampa Bay Rays,8-7,W,88-57
145,146,09-15-2010,at Tampa Bay Rays,3-4,L,88-58
146,147,09-17-2010,at Baltimore Orioles,4-3,W,89-58
147,148,09-18-2010,at Baltimore Orioles,11-3,W,90-58
148,149,09-19-2010,at Baltimore Orioles,3-4,L,90-59
149,150,09-20-2010,vs Tampa Bay Rays,8-6,W,91-59
150,151,09-21-2010,vs Tampa Bay Rays,8-3,W,92-59
151,152,09-22-2010,vs Tampa Bay Rays,2-7,L,92-60
152,153,09-23-2010,vs Tampa Bay Rays,3-10,L,92-61
153,154,09-24-2010,vs Boston Red Sox,8-10,L,92-62
154,155,09-25-2010,vs Boston Red Sox,3-7,L,92-63
155,156,09-26-2010,vs Boston Red Sox,4-3,W,93-63
156,157,09-27-2010,at Toronto Blue Jays,5-7,L,93-64
157,158,09-28-2010,at Toronto Blue Jays,6-1,W,94-64
158,159,09-29-2010,at Toronto Blue Jays,4-8,L,94-65
159,160,10-01-2010,at Boston Red Sox,0-0,T,94-65-1
160,161-I,10-02-2010,at Boston Red Sox,6-5,W,95-65-1
161,162-II,10-02-2010,at Boston Red Sox,6-7,L,95-66-1
162,163,10-03-2010,at Boston Red Sox,4-8,L,95-67-1
